subset,contrast,cond_a,cond_b,item,diff_steps_taken,diff_final_surprisal,diff_final_entropy,diff_final_sampler_entropy,diff_final_sampler_p_target,diff_cumulative_kl,diff_sampler_cumulative_kl
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,37,202.0,-2.1659271864510288,1.3954496383666992,-1.8003616333007812,0.004710925277322531,0.11776311349785828,0.2978667424467858
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,38,309.0,-8.85098443929217,1.5324969291687012,-3.326751708984375,0.025676663230115082,0.27180748236241925,0.647076000313973
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,39,-96.0,-10.558953327476583,-3.202455520629883,-2.676764488220215,0.10926480723719578,0.7780828777667921,1.6565418128157035
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,40,-520.0,-0.8560837073789163,-5.879196584224701,0.47646236419677734,0.000667984251776943,-0.15374627439450705,-0.4545665611512959
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,41,54.0,-8.300846733066152,-2.403264045715332,-3.676067352294922,0.05166617225040682,0.26483654974254023,0.3397177411825396
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,42,-195.0,6.327259640921884,-3.3041350841522217,-3.2517709732055664,-0.0008305277406179812,-0.12649251654875115,-0.18060408445307985
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,43,1011.0,-18.06656691105765,8.463243320584297,-2.992953300476074,0.10805215634172782,0.6377847255571396,2.155463446979411
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,44,315.0,-14.299376692062435,2.480501174926758,-0.5460977554321289,0.04451222351372053,-0.69079297335702,-2.678226181771606
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,45,-520.0,20.431997042523548,-3.9786227345466614,0.3834071159362793,-0.2735155521838806,-0.1541463777084573,-0.5445752852247097
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,46,-616.0,-3.345536154981639,-6.795312464237213,-3.188004493713379,0.0636371462023817,-0.5108772235216748,-1.8112530700163916
